,0
LIL,0
LIM,0
SF4,0
ZNH,0
ZNO,0
NAO,0
CHX,0
FNE,0
CCN,0
NAW,0
BR,0
EGL,0
EGC,0
D10,0
EPE,0
O2,0
FDC,0
BOG,0
MYY,0
HAS,0
LBT,0
PIN,0
LYS,0
MYS,0
MYR,0
POL,0
PIG,0
N8E,0
HNI,0
F3S,0
RB,0
LYC,0
IOD,0
GLB,0
URE,0
SUL,0
DVT,0
MRY,0
CHL,0
TPT,0
PER,0
MRD,0
NIN,0
PEE,0
IOB,0
ZPG,0
KAC,0
CXS,0
ALF,0
OH,0
IPH,0
BO3,0
BO4,0
SQU,0
DPP,0
ZN3,0
SFO,0
ZN1,0
PEO,0
FRU,0
LI1,0
OX,0
PEH,0
DBS,0
OS,0
PYE,0
FE,0
DSU,0
1CP,0
OCM,0
OCL,0
OCN,0
F2O,0
CD3,0
DET,0
YOM,0
AGC,0
VO4,0
FSX,0
HDD,0
DEM,0
MP1,0
EEE,0
HDN,0
FLC,0
MG8,0
XLS,0
HG,0
R16,0
NA2,0
BH1,0
ETI,0
RTC,0
RTB,0
WO5,0
WO4,0
PTE,0
PTD,0
OSU,0
YT3,0
MNH,0
PTY,0
ROP,0
LXC,0
MNB,0
PTT,0
PO4,0
AF3,0
UPL,0
MLI,0
OXY,0
NI,0
N,0
MN3,0
B3P,0
TRD,0
CZM,0
PO3,0
TRY,0
OXN,0
OXO,0
B3H,0
HGP,0
W,0
EDO,0
PBM,0
TRS,0
BEF,0
TRT,0
SER,0
MW3,0
MPG,0
MW1,0
MPB,0
CO2,0
HTO,0
MPO,0
MTO,0
NO,0
TBU,0
SO3,0
V4O,0
CD1,0
SO2,0
VCA,0
BTB,0
OC1,0
CNB,0
OC3,0
OC2,0
OC5,0
OC4,0
OC6,0
BF4,0
1EM,0
GD3,0
SUC,0
ACE,0
P4G,0
SUM,0
HGI,0
P4C,0
ACN,0
2OF,0
B12,0
BZO,0
ACT,0
NON,0
NET,0
2OS,0
XYS,0
NES,0
CSB,0
DTN,0
ASR,0
DGA,0
IPA,0
EMC,0
CU1,0
PMS,0
NA,0
DTL,0
CSO,0
HGC,0
FE2,0
SEO,0
NBB,0
CL1,0
CL2,0
1BO,0
AS2,0
SE4,0
IME,0
FEC,0
PAM,0
IMF,0
UNX,0
U1,0
CLF,0
PDT,0
CLA,0
XE,0
PDO,0
L2P,0
TLA,0
CFM,0
UND,0
CUB,0
CUA,0
CUO,0
CUN,0
CUM,0
DTD,0
CLP,0
ITM,0
TRE,0
FLH,0
GAL,0
OMO,0
H2S,0
ZEM,0
KR,0
MES,0
GLA,0
AC9,0
FCO,0
HO,0
AZI,0
BPB,0
CIN,0
BPH,0
VO3,0
TWN,0
1PG,0
1PE,0
P6G,0
2ME,0
DOA,0
VER,0
MSE,0
2MO,0
IMD,0
PE4,0
F,0
CN1,0
CL,0
2BR,0
POP,0
OCT,0
CYC,0
2BM,0
SGM,0
NO2,0
FEO,0
P3A,0
TE,0
TB,0
CYN,0
GOL,0
ICI,0
TG1,0
GER,0
FMR,0
DHE,0
DHD,0
PO2,0
AL,0
HOH,0
CUZ,0
CNF,0
6WO,0
AU,0
CNC,0
MLT,0
ZN2,0
CNN,0
GCU,0
EA2,0
HOZ,0
C14,0
ICT,0
15P,0
DPO,0
8PP,0
LIN,0
UNA,0
BME,0
CD5,0
OTE,0
YOL,0
DOD,0
HHG,0
DUM,0
DXE,0
MCR,0
FES,0
